Color,URL
"Pear Heather, Cypress Logo_Summer Orange Heather, Carbon Logo_Glaze Green Heather, White Logo_Vivid Blue Heather, Bright Nectar Logo_Red Spark Heather, White Logo_Cool Grey Heather, Vivid Blue Logo_Charcoal Hthr, Cool Grey Logo_Collegiate Navy Heather, White Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1709421
Tusk_Black_Stone Green,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2030741
"Columbia Grey_Mountain Blue, Collegiate Navy",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086961_S
Canyon Blue_Atoll_Collegiate Navy_Tiki Pink_Cirrus Grey_Fossil_White Cap,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2093111
Cool Grey,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1536071
"Moonstone, River Blue",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2108291
Stone Green_Canoe,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119141
"Spray, River Blue_Lemon Wash_Alpenglow",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1534113
River Blue_Canteen,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1533894
"Glaze Green, White Logo_Dusty Crimson, Nocturnal Logo_Summer Orange, Carbon Logo_Pear, Cypress Logo_Blue Echo, White Logo_Coll Navy, Sunset Red Logo_City Grey, Black Logo_White Cap, White Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1536173
"Teal, Spray_Pink Sand, Alpenglow_Razzle, Moonvista",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2085651
"Graphite, Dusty Iris",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1575461
Spray Broadleaf_Cypress_Bluebell_Shale Purple Broadleaf_Cocoa Butter Broadleaf_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2035361
