Variant URL,Price,Barcode,Available
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124236935,$16.00,'840122905216,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124269703,$16.00,'840122905223,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124302471,$16.00,'840122905230,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124335239,$16.00,'840122905247,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124368007,$16.00,'840122905254,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=39918124400775,$16.00,'840122905261,True
https://www.rarebeauty.com/products/kind-words-matte-lip-liner?variant=41527856889991,$16.00,'840122906473,True
https://www.rarebeauty.com/products/comfy-sweatpant?variant=40562653659271,$40.00,'840122901997,True
https://www.rarebeauty.com/products/comfy-sweatpant?variant=40562653593735,$40.00,'840122901973,True
https://www.rarebeauty.com/products/comfy-sweatpant?variant=40562653560967,$40.00,'840122901966,True
https://www.rarebeauty.com/products/comfy-sweatpant?variant=40562653528199,$40.00,'840122901959,True
https://www.rarebeauty.com/products/comfy-sweatpant?variant=40562653626503,$40.00,'840122901980,True
https://www.rarebeauty.com/products/comfy-sweatpant?variant=40562653495431,$40.00,'840122901942,True
https://www.rarebeauty.com/products/comfy-sweatpant?variant=40562653692039,$40.00,'840122902017,False
https://www.rarebeauty.com/products/comfy-hoodie?variant=40562653429895,$45.00,'840122901935,False
https://www.rarebeauty.com/products/comfy-hoodie?variant=40562653364359,$45.00,'840122901911,False
https://www.rarebeauty.com/products/comfy-hoodie?variant=40562653331591,$45.00,'840122901904,False
https://www.rarebeauty.com/products/comfy-hoodie?variant=40562653298823,$45.00,'840122901898,False
https://www.rarebeauty.com/products/comfy-hoodie?variant=40562653397127,$45.00,'840122901928,False
https://www.rarebeauty.com/products/comfy-hoodie?variant=40562653266055,$45.00,'840122901881,False
https://www.rarebeauty.com/products/comfy-hoodie?variant=40562653462663,$45.00,'840122902000,False
https://www.rarebeauty.com/products/all-of-the-above-weightless-eyeshadow-stick?variant=40491203166343,$22.00,'840122906190,True
https://www.rarebeauty.com/products/all-of-the-above-weightless-eyeshadow-stick?variant=40491203199111,$22.00,'840122906206,True
https://www.rarebeauty.com/products/all-of-the-above-weightless-eyeshadow-stick?variant=40491203231879,$22.00,'840122906213,True
https://www.rarebeauty.com/products/all-of-the-above-weightless-eyeshadow-stick?variant=40491203264647,$22.00,'840122906220,True
https://www.rarebeauty.com/products/all-of-the-above-weightless-eyeshadow-stick?variant=40491203297415,$22.00,'840122906237,True
https://www.rarebeauty.com/products/all-of-the-above-weightless-eyeshadow-stick?variant=40491203330183,$22.00,'840122906244,True
https://www.rarebeauty.com/products/positive-light-liquid-luminizer-mini?variant=40970263429255,$17.00,'840122902703,True
https://www.rarebeauty.com/products/positive-light-liquid-luminizer-mini?variant=41679276408967,$17.00,'840122901874,True
https://www.rarebeauty.com/products/positive-light-liquid-luminizer-mini?variant=40970263462023,$17.00,'840122901690,False
https://www.rarebeauty.com/products/positive-light-liquid-luminizer-mini?variant=40970263494791,$17.00,'840122901683,False
https://www.rarebeauty.com/products/positive-light-liquid-luminizer-mini?variant=40970263527559,$17.00,'840122901614,False
https://www.rarebeauty.com/products/positive-light-silky-touch-highlighter?variant=40253134864519,$27.00,'840122905414,True
https://www.rarebeauty.com/products/positive-light-silky-touch-highlighter?variant=40253134897287,$27.00,'840122905421,True
https://www.rarebeauty.com/products/positive-light-silky-touch-highlighter?variant=40253134930055,$27.00,'840122905438,True
https://www.rarebeauty.com/products/positive-light-silky-touch-highlighter?variant=40253134962823,$27.00,'840122905445,True
https://www.rarebeauty.com/products/positive-light-silky-touch-highlighter?variant=40922672889991,$27.00,'840122906534,True
https://www.rarebeauty.com/products/positive-light-silky-touch-highlighter?variant=40922672922759,$27.00,'840122906541,True
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39916430688391,$20.00,'840122905025,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918802829447,$20.00,'840122905032,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918802862215,$20.00,'840122905049,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918802894983,$20.00,'840122905056,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918802927751,$20.00,'840122905063,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918802960519,$20.00,'840122905070,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918802993287,$20.00,'840122905087,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918803026055,$20.00,'840122905094,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918803058823,$20.00,'840122905100,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=39918803091591,$20.00,'840122905117,False
https://www.rarebeauty.com/products/kind-words-matte-lipstick?variant=41532429729927,$20.00,'840122906343,False
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673180807,$22.00,'840122905766,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673213575,$22.00,'840122905773,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673246343,$22.00,'840122905780,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673279111,$22.00,'840122905797,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673311879,$22.00,'840122905803,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673344647,$22.00,'840122905810,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673377415,$22.00,'840122905827,True
https://www.rarebeauty.com/products/soft-pinch-tinted-lip-oil?variant=40386673410183,$22.00,'840122905834,True
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031584903,$18.00,'840122902116,False
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031519367,$18.00,'840122902123,False
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031486599,$18.00,'840122902130,False
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031453831,$18.00,'840122902147,False
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031552135,$18.00,'840122902154,False
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031355527,$18.00,'840122902161,False
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031388295,$18.00,'840122902178,False
https://www.rarebeauty.com/products/rare-beauty-t-shirt?variant=40379031421063,$18.00,'840122902284,False
https://www.rarebeauty.com/products/positive-light-liquid-luminizer-1?variant=42267123777671,$27.00,'840122907029,True
