"Locale","Image","Title","Product Codes: PartNumber","Model","Product Codes: UPC","ASIN","New, 3rd Party FBA: Current","New: Current","Buy Box 🚚: Current","Buy Box 🚚: 30 days avg.","Buy Box 🚚: 90 days avg.","Reviews: Rating Count - Format Specific","Reviews: Rating Count","New Offer Count: Current","Competitive Price Threshold","Size","Item Form","Pattern","Style","Material","Item Type","Variation Attributes","Color","Bought in past month","List Price: 90 days avg.","Sales Rank: Current","Parent ASIN","Product Codes: EAN","Product Codes: GTIN","Amazon: Current","Amazon: Highest","Amazon: 90 days OOS","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","List Price: 30 days avg.","Total Offer Count","Listed since","Brand","Brand Store Name","Brand Store URL Name","Categories: Root","Manufacturer","Return Rate"
"com","https://m.media-amazon.com/images/I/71QMbnDxWUL.jpg;https://m.media-amazon.com/images/I/61HJ7Sh2bhL.jpg;https://m.media-amazon.com/images/I/61ed78lPW0L.jpg;https://m.media-amazon.com/images/I/61Ws8XLd3TL.jpg;https://m.media-amazon.com/images/I/61UiLvdwEjL.jpg;https://m.media-amazon.com/images/I/61drreuD4cL.jpg;https://m.media-amazon.com/images/I/61TVtuLIiML.jpg;https://m.media-amazon.com/images/I/71wakHq1GmL.jpg;https://m.media-amazon.com/images/I/71OnaZFAS8L.jpg","adidas Unisex Samba Indoor Sneaker, Black/White/Vivid Red, 8 US Men","NJG41","NJG41","197609834690","B0CKMKJT86","$ 89.98","$ 89.95","$ 89.95","$ 89.30","$ 85.21","28","1492","5","$ 89.95","9 Women/8 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 9 Women/8 Men; Color: Black/White/Vivid Red;","Black/White/Vivid Red","200","$ 90.00","1106","B0CKMRBH97","0197609834690","","$ 89.95","$ 90.00","1 %","$ 7.16","15 %","$ 13.49","$ 90.00","7","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 7.5 US Men","NJG41","NJG41","197609830968","B0CKMKPDFZ","$ 89.98","$ 89.95","$ 89.95","$ 89.90","$ 87.51","60","1510","4","$ 89.95","8.5 Women/7.5 Men","","Striped","Samba Indoor","Leather","fashion-sneakers","Size: 8.5 Women/7.5 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","1000","$ 90.00","1059","B0CKMRBH97","0197609830968","","$ 89.95","$ 90.00","0 %","$ 7.00","15 %","$ 13.49","$ 90.00","7","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas","High"
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 8.5 US Men","NJG41","NJG41","197609830869","B0CKMKR7XH","$ 89.95","$ 89.95","$ 89.95","$ 89.91","$ 85.38","35","1510","6","$ 89.95","9.5 Women/8.5 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 9.5 Women/8.5 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","500","$ 90.00","1106","B0CKMRBH97","0197609830869","","$ 89.95","$ 90.00","0 %","$ 7.16","15 %","$ 13.49","$ 90.00","8","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 10 US Men","NJG41","NJG41","197609830999","B0CKMKVCKR","$ 89.95","$ 89.95","$ 89.95","$ 89.95","$ 85.85","19","1510","6","-","11 Women/10 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 11 Women/10 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","500","$ 90.00","1088","B0CKMRBH97","0197609830999","","$ 89.95","$ 90.00","0 %","$ 7.56","15 %","$ 13.49","$ 90.00","6","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 10.5 US Men","NJG41","NJG41","197609830852","B0CKMKW82W","$ 89.95","$ 89.95","$ 89.95","$ 89.95","$ 83.85","12","1492","6","$ 89.95","11.5 Women/10.5 Men","","Striped","Samba Indoor","Leather","fashion-sneakers","Size: 11.5 Women/10.5 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","500","$ 90.00","1100","B0CKMRBH97","0197609830852","","$ 89.95","$ 90.00","0 %","$ 7.32","15 %","$ 13.49","$ 90.00","8","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 11 US Men","NJG41","NJG41","197609830883","B0CKMLZNVD","$ 89.98","$ 89.95","$ 89.95","$ 89.95","$ 85.15","19","1510","5","$ 89.95","12 Women/11 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 12 Women/11 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","300","$ 90.00","1112","B0CKMRBH97","0197609830883","00197609830883","$ 89.95","$ 90.00","0 %","$ 7.40","15 %","$ 13.49","$ 90.00","7","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/71QMbnDxWUL.jpg;https://m.media-amazon.com/images/I/61HJ7Sh2bhL.jpg;https://m.media-amazon.com/images/I/61ed78lPW0L.jpg;https://m.media-amazon.com/images/I/61Ws8XLd3TL.jpg;https://m.media-amazon.com/images/I/61UiLvdwEjL.jpg;https://m.media-amazon.com/images/I/61drreuD4cL.jpg;https://m.media-amazon.com/images/I/61TVtuLIiML.jpg;https://m.media-amazon.com/images/I/71wakHq1GmL.jpg;https://m.media-amazon.com/images/I/71OnaZFAS8L.jpg","adidas Unisex Samba Indoor Sneaker, Black/White/Vivid Red, 7.5 US Men","NJG41","NJG41","197609834799","B0CKMGWCBZ","$ 89.95","$ 89.95","$ 89.95","$ 89.95","$ 84.97","29","1502","5","$ 89.95","8.5 Women/7.5 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 8.5 Women/7.5 Men; Color: Black/White/Vivid Red;","Black/White/Vivid Red","200","$ 90.00","1106","B0CKMRBH97","0197609834799","","$ 89.95","$ 90.00","0 %","$ 7.00","15 %","$ 13.49","$ 90.00","6","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/71QMbnDxWUL.jpg;https://m.media-amazon.com/images/I/61HJ7Sh2bhL.jpg;https://m.media-amazon.com/images/I/61ed78lPW0L.jpg;https://m.media-amazon.com/images/I/61Ws8XLd3TL.jpg;https://m.media-amazon.com/images/I/61UiLvdwEjL.jpg;https://m.media-amazon.com/images/I/61drreuD4cL.jpg;https://m.media-amazon.com/images/I/61TVtuLIiML.jpg;https://m.media-amazon.com/images/I/71wakHq1GmL.jpg;https://m.media-amazon.com/images/I/71OnaZFAS8L.jpg","adidas Unisex Samba Indoor Sneaker, Black/White/Vivid Red, 9.5 US Men","NJG41","NJG41","197609834768","B0CKMKMSJF","$ 89.98","$ 89.95","$ 89.95","$ 89.95","$ 86.38","13","1492","5","$ 89.95","10.5 Women/9.5 Men","","Striped","Samba Indoor","Leather","fashion-sneakers","Size: 10.5 Women/9.5 Men; Color: Black/White/Vivid Red;","Black/White/Vivid Red","200","$ 90.00","1106","B0CKMRBH97","0197609834768","","$ 89.95","$ 90.00","3 %","$ 7.32","15 %","$ 13.49","$ 90.00","6","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 8 US Men","NJG41","NJG41","197609830920","B0CKMKVWMN","$ 89.95","$ 89.95","$ 89.95","$ 89.89","$ 85.91","39","1510","6","$ 89.95","9 Women/8 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 9 Women/8 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","900","$ 90.00","1111","B0CKMRBH97","0197609830920","","$ 89.95","$ 90.00","0 %","$ 7.16","15 %","$ 13.49","$ 90.00","9","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas","High"
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 13 US Men","NJG41","NJG41","197609831026","B0CKMLJRT5","$ 89.95","$ 89.95","$ 89.95","$ 89.95","$ 84.58","5","1510","6","-","14 Women/13 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 14 Women/13 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","100","$ 90.00","1096","B0CKMRBH97","0197609831026","","$ 89.95","$ 90.00","0 %","$ 7.40","15 %","$ 13.49","$ 90.00","6","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 12 US Men","NJG41","NJG41","197609831019","B0CKMK1SWY","$ 89.95","$ 89.95","$ 89.95","$ 89.95","$ 83.89","6","1494","6","$ 89.95","13 Women/12 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 13 Women/12 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","200","$ 90.00","1059","B0CKMRBH97","0197609831019","","$ 89.95","$ 90.00","0 %","$ 7.40","15 %","$ 13.49","$ 90.00","6","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
"com","https://m.media-amazon.com/images/I/61d-XumbpkL.jpg;https://m.media-amazon.com/images/I/61qZNROzzVL.jpg;https://m.media-amazon.com/images/I/61HpHNWNi8L.jpg;https://m.media-amazon.com/images/I/611O2GYtoSL.jpg;https://m.media-amazon.com/images/I/613veK7H6sL.jpg;https://m.media-amazon.com/images/I/61fm3mleRcL.jpg;https://m.media-amazon.com/images/I/71QPmHEhGqL.jpg;https://m.media-amazon.com/images/I/71+iIF0iTFL.jpg","adidas Unisex Samba Indoor Sneaker, White/Black/Vivid Red, 7 US Men","NJG41","NJG41","197609830890","B0CKML7GV9","$ 89.95","$ 89.95","$ 89.95","$ 89.95","$ 86.76","37","1510","5","$ 89.95","8 Women/7 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 8 Women/7 Men; Color: White/Black/Vivid Red;","White/Black/Vivid Red","1000","$ 90.00","1106","B0CKMRBH97","0197609830890","","$ 89.95","$ 90.00","1 %","$ 7.00","15 %","$ 13.49","$ 90.00","9","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas","High"
"com","https://m.media-amazon.com/images/I/71QMbnDxWUL.jpg;https://m.media-amazon.com/images/I/61HJ7Sh2bhL.jpg;https://m.media-amazon.com/images/I/61ed78lPW0L.jpg;https://m.media-amazon.com/images/I/61Ws8XLd3TL.jpg;https://m.media-amazon.com/images/I/61UiLvdwEjL.jpg;https://m.media-amazon.com/images/I/61drreuD4cL.jpg;https://m.media-amazon.com/images/I/61TVtuLIiML.jpg;https://m.media-amazon.com/images/I/71wakHq1GmL.jpg;https://m.media-amazon.com/images/I/71OnaZFAS8L.jpg","adidas Unisex Samba Indoor Sneaker, Black/White/Vivid Red, 9 US Men","NJG41","NJG41","197609834843","B0CKMM3MNN","$ 89.95","$ 89.95","$ 89.95","$ 89.95","$ 85.13","25","1494","5","$ 89.95","10 Women/9 Men","","Striped","Samba Indoor","Leather","soccer-shoes","Size: 10 Women/9 Men; Color: Black/White/Vivid Red;","Black/White/Vivid Red","200","$ 90.00","1112","B0CKMRBH97","0197609834843","","$ 89.95","$ 90.00","0 %","$ 8.20","15 %","$ 13.49","$ 90.00","7","2023/10/06","adidas","","","Clothing, Shoes & Jewelry","adidas",""
