UPC,ASIN,Title,Cost,Price,Profit,ROI,Offers,Sales Rank,Size,Color, Source, Tag
847816059880,B01AVLBGOQ,Carhartt Footwear CMW6095 6-Inch Waterproof Wedge Boot - 10 M - Dark Brown,111.99,146.02999877929688,4.2599990463256745,3.803910211916845%,8,26477,10,Dark Brown,https://www.shopwss.com/products/cmw6095?variant=40942518960183,eligible-discount
847816061975,B01AVLBVP0,Carhartt Footwear CMW6095 6-Inch Waterproof Wedge Boot - 8 M - Dark Brown,111.99,159.99000549316406,16.120005378723135,14.394147136997173%,6,26477,8,Dark Brown,https://www.shopwss.com/products/cmw6095?variant=40942518829111,eligible-discount
847816059873,B01AVLBFW4,Carhartt Footwear CMW6095 6-Inch Waterproof Wedge Boot - 9 ½ M - Dark Brown,111.99,110.69000244140625,-25.85999797821046,-23.091345636405446%,8,26477,9.5,Dark Brown,https://www.shopwss.com/products/cmw6095?variant=40942518927415,eligible-discount
847816059897,B01AVLBHMM,"Carhartt Men's 6"" Waterproof Wedge Boot Moc Toe Brown 10.5 D",111.99,159.99000549316406,16.120005378723135,14.394147136997173%,5,26477,10.5,Brown,https://www.shopwss.com/products/cmw6095?variant=40942518992951,eligible-discount
847816059910,B01AVLBJCU,"Carhartt Men's 6"" Waterproof Wedge Boot Moc Toe Brown 11.5 D",111.99,111.0199966430664,-25.900002708435068,-23.127067334971933%,6,26477,11.5,Brown,https://www.shopwss.com/products/cmw6095?variant=40942519058487,eligible-discount
847816059941,B01AVLBLRI,"Carhartt Men's 6"" Waterproof Wedge Boot Moc Toe Brown 14 D",111.99,90,-43.849999656677255,-39.15528141501675%,5,26477,14,Brown,https://www.shopwss.com/products/cmw6095?variant=40942519156791,eligible-discount
847816059903,B01AVLBIMQ,"Carhartt Men's CMW6095 6"" Casual Wedge Work Boot, Brown, 11 M US",111.99,159.99000549316406,15.800005683898917,14.108407611303614%,4,26477,11,Brown,https://www.shopwss.com/products/cmw6095?variant=40942519025719,eligible-discount
847816063948,B01L2UH0T0,"Carhartt Men's 6"" Waterproof Wedge Boot Moc Toe Tan 9 D",108.79,140.6300048828125,2.7900046920776163,2.5645782627793143%,4,26499,9,Tan,https://www.shopwss.com/products/cmw6175?variant=40942601076791,eligible-discount
847816063979,B01L2UH2WU,Carhartt Footwear CMW6175 Wedge Boot - 10 ½ M - Tan,108.79,169.99000549316406,27.74000545501707,25.498672171171126%,5,26499,10.5,Tan,https://www.shopwss.com/products/cmw6175?variant=40942600978487,eligible-discount
847816059866,B01AVLBF1K,Carhartt Footwear CMW6095 6-Inch Waterproof Wedge Boot - 9 M - Dark Brown,111.99,141.6999969482422,0.4899966812133698,0.437536102521091%,8,26499,9,Dark Brown,https://www.shopwss.com/products/cmw6095?variant=40942518894647,eligible-discount
847816059934,B01AVLBKZG,"Carhartt Men's 6"" Waterproof Wedge Boot Moc Toe Brown 13 D",111.99,118.4000015258789,-19.62999843597413,-17.528349349025923%,6,26499,13,Brown,https://www.shopwss.com/products/cmw6095?variant=40942519124023,eligible-discount
847816063931,B01L2UH00O,"Carhartt Men's 6"" Waterproof Wedge Boot Moc Toe Tan 8.5 D",108.79,169.99000549316406,27.820005378723124,25.572208271645486%,3,26501,8.5,Tan,https://www.shopwss.com/products/cmw6175?variant=40942601109559,eligible-discount
847816063924,B01L2UGZE6,Carhartt Footwear CMW6175 Wedge Boot - 8 M - Tan,108.79,169.99000549316406,27.74000545501707,25.498672171171126%,6,26501,8,Tan,https://www.shopwss.com/products/cmw6175?variant=40942601142327,eligible-discount
