Price,UPC,Quantity,Source
$11.99,'035051547150,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-back-to-hogwarts%E2%84%A2-harry-potter%E2%84%A2-mini-collectibles
$15.99,'035051524069,,https://shop.mgae.com/collections/all-1/products/bratz-babyz-runwayz-doll-yasmin
$15.99,'035051524076,,https://shop.mgae.com/collections/all-1/products/bratz-babyz-runwayz-doll-jade
$15.99,'035051527589,,https://shop.mgae.com/collections/all-1/products/bratz-babyz-runwayz-doll-dana
$15.99,'035051524083,,https://shop.mgae.com/collections/all-1/products/bratz-babyz-runwayz-doll-sasha
$16.99,'050743664175,,https://shop.mgae.com/collections/all-1/products/little-tikes-story-dream-machine-big-shark-little-shark-collection
$16.99,'050743664281,,https://shop.mgae.com/collections/all-1/products/little-tikes-story-dream-machine-day-family-collection
$16.99,'050743664304,,https://shop.mgae.com/collections/all-1/products/little-tikes-story-dream-machine-magical-creatures-collection
$16.99,'050743664311,,https://shop.mgae.com/collections/all-1/products/story-dream-machine-i-love-collection
$16.99,'050743664199,,https://shop.mgae.com/collections/all-1/products/story-dream-machine-dino-collection
$15.99,'035051527701,,https://shop.mgae.com/collections/all-1/products/bratz-babyz-runwayz-doll-felicia
$16.99,'050743664182,44,https://shop.mgae.com/collections/all-1/products/story-dream-machine-go-go-vehicles-collection
$17.99,'050743611957,,https://shop.mgae.com/collections/all-1/products/little-tikes-totsports-t-ball-set
$16.99,'050743664298,,https://shop.mgae.com/collections/all-1/products/little-tikes-story-dream-machine-colorful-cat-collection
$17.99,'035051583783,,https://shop.mgae.com/collections/all-1/products/lol-surprise-furniture-playset-cheeky-babe-lil-music-tour
$17.99,'035051572626,37,https://shop.mgae.com/collections/all-1/products/lol-surprise-furniture-sweet-boardwalk-with-sugar-doll-and-10-surprises
$17.99,'035051522058,,https://shop.mgae.com/collections/all-1/products/rainbow-high-little-dessert-shop-with-kandy-playset
$17.99,'035051522249,,https://shop.mgae.com/collections/all-1/products/rainbow-high-little-pool-day-with-blush-playset
$17.99,'035051570578,,https://shop.mgae.com/collections/all-1/products/rainbow-high-shadow-high-heather-grayson-11-fashion-doll-with-accessories
$17.99,'035051570592,,https://shop.mgae.com/collections/all-1/products/rainbow-high-shadow-high-luna-madison-11-fashion-doll-with-accessories
$17.99,'035051570585,,https://shop.mgae.com/collections/all-1/products/rainbow-high-shadow-high-shanelle-onyx-11-fashion-doll-with-accessories
$19.99,'050743662157,,https://shop.mgae.com/collections/all-1/products/little-tikes-big-adventures-space-rover
$17.99,'035051570608,,https://shop.mgae.com/collections/all-1/products/rainbow-high-shadow-high-natasha-11-fashion-doll-with-accessories
$19.99,'035051571964,,https://shop.mgae.com/collections/all-1/products/l-o-l-surprise-confetti-pop-3-pack-glamstronaut-3-re-released-dolls-each-with-9-surprises
$19.99,'035051591573,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-hos-doll-swag
$19.99,'035051588726,,https://shop.mgae.com/collections/all-1/products/lol-surprise-tweens-s4-doll-ali-dance
$19.99,'035051571988,,https://shop.mgae.com/collections/all-1/products/l-o-l-surprise-3-pack-confetti-beatnik-babe
$19.99,'035051591597,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-hos-doll-lady-diva
$19.99,'035051591658,,https://shop.mgae.com/collections/all-1/products/lol-surprise-tweens-core-doll-hana-groove
$19.99,'035051591603,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-hos-doll-royal-bee
$19.99,'035051591672,,https://shop.mgae.com/collections/all-1/products/lol-surprise-tweens-core-doll-cassie-cool
$19.99,'035051503682,,https://shop.mgae.com/collections/all-1/products/rainbow-high-junior-high-pj-party-fashion-doll-sunny-yellow
$19.99,'035051503675,,https://shop.mgae.com/collections/all-1/products/rainbow-high-junior-high-pj-party-fashion-doll-bella-pink
$19.99,'035051530947,,https://shop.mgae.com/collections/all-1/products/rainbow-high-junior-high-pj-party-fashion-doll-skyler-blue
$19.99,'035051503705,,https://shop.mgae.com/collections/all-1/products/rainbow-high-junior-high-pj-party-fashion-doll-violet-purple
$19.99,'689202919237,,https://shop.mgae.com/collections/all-1/products/baby-born-bear
$19.99,'689202918919,,https://shop.mgae.com/collections/all-1/products/baby-born-my-first-baby-doll-annabell
$19.99,'035051540304,,https://shop.mgae.com/collections/all-1/products/pixel-petz-dalmatian
$19.99,'035051540298,,https://shop.mgae.com/collections/all-1/products/pixel-petz-corgi
$20.99,'035051576129,,https://shop.mgae.com/collections/all-1/products/lol-surprise-glitter-3-pack-style-2
$20.99,'035051576136,13,https://shop.mgae.com/collections/all-1/products/lol-surprise-glitter-3-pack-style-3
$20.99,'035051529316,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-happy-hour-mini-collectibles-3-pack-for-adults-21-years
$20.99,'035051576112,38,https://shop.mgae.com/collections/all-1/products/lol-surprise-glitter-3-pack-style-1
$20.99,'035051576143,5,https://shop.mgae.com/collections/all-1/products/lol-surprise-glitter-3-pack-style-4
$19.99,'035051524205,,https://shop.mgae.com/collections/all-1/products/bratz-goin-out-doll-yasmin
$22.99,'035051555117,,https://shop.mgae.com/collections/all-1/products/lol-surprise-fashion-factory-game
$20.99,'035051540311,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-food-halloween-series-2-mini-collectibles-3-pack-beetlejuice-beetlejuice%E2%84%A2
$22.99,'050743656156,,https://shop.mgae.com/collections/all-1/products/little-tikes-first-aid-kit
$23.99,'035051529378,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-from-scratch-series-1-mini-collectibles-2-pack
$24.99,'035051562689,27,https://shop.mgae.com/collections/all-1/products/l-o-l-surprise-fashion-show-on-the-go-hot-pink-storage-playset
$24.99,'035051584247,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-sports-doll-s3-court-cutie
$24.99,'035051582953,2,https://shop.mgae.com/collections/all-1/products/rainbow-high-junior-high-doll-series-2-amaya-raine
$24.99,'035051591504,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-core-series-8-victory
$24.99,'035051584698,,https://shop.mgae.com/collections/all-1/products/bratz-original-fashion-doll-dylan
$24.99,'035051591535,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-core-series-8-pose
$24.99,'035051588511,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-core-series-7-golden-heart
$24.99,'035051589433,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-sunshine-makeover-sunrise
$24.99,'035051591542,18,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-core-series-8-jams
