UPC,Price,Promotion,Source URL
039978013866,8.79,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bobs-red-mill-gluten-free-organic-rolled-oats-extra-thick
745998401056,12.89,[Use code 20FOODIE to save 20%],https://www.vitacost.com/equal-exchange-organic-breakfast-blend-ground-coffee
052603054102,3.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/pacific-foods-organic-broth
011110119353,12.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/simple-truth-organic-coconut-water-original-33-8-fl-oz-each-pack-of-4
835143000385,7.04,[Use code 20FOODIE to save 20%],https://www.vitacost.com/teas-tea-unsweetened-tea-jasmine-green-tea
873204308018,6.09,[Use code 20FOODIE to save 20%],https://www.vitacost.com/big-tree-farms-organic-coco-aminos-all-purpose-seasoning-sauce
075779311145,6.29,[Use code 20FOODIE to save 20%],https://www.vitacost.com/florida-crystals-organic-cane-sugar-2-lbs
027328120005,3.79,[Use code 20FOODIE to save 20%],https://www.vitacost.com/organic-harvest-foods-arizona-peppers-sauce-organic
089836660473,1.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/frontier-co-op-celery-salt-0-9-oz
058449450573,6.29,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/natures-path-organic-gluten-free-instant-oatmeal
052603056052,7.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/pacific-foods-organic-bone-broth-beef
741391979284,13.94,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/rishi-tea-ceremonial-matcha-loose-leaf-tea
652642005105,6.19,[Use code 20FOODIE to save 20%],https://www.vitacost.com/rigoni-di-asiago-fiordifrutta-organic-fruit-spread-peach
073416305137,4.41,"[Use code 25FOR814 to save 25%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/lundberg-rice-cake-minis-organic-white-cheddar
708163118371,3.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/boulder-canyon-avocado-oil-thin-crispy-potato-chips-cheddar-sour-cream
074333474319,2.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/arrowhead-mills-whole-grain-puffed-millet-cereal
072457660229,5.53,[Use code 20FOODIE to save 20%],https://www.vitacost.com/walden-farms-amazin-mayo
070734050138,4.49,[Use code 20FOODIE to save 20%],https://www.vitacost.com/celestial-seasonings-herbal-tea-caffeine-free-roastaroma-20-tea-bags-2
609722798839,1.65,[Use code 20FOODIE to save 20%],https://www.vitacost.com/seasnax-grab-go-seaweed-snacks-wasabi
810589030035,7.89,[Use code 20FOODIE to save 20%],https://www.vitacost.com/purely-elizabeth-vegan-gluten-free-superfood-cereal-vanilla-blueberry-almond
716123124638,7.09,[Use code 20FOODIE to save 20%],https://www.vitacost.com/sweetleaf-stevia-sweetener
058449450030,5.09,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/natures-path-organic-instant-hot-oatmeal-maple-nut
074305000164,5.49,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bragg-liquid-aminos-gluten-free
868706000119,4.09,[Use code 20FOODIE to save 20%],https://www.vitacost.com/artisan-tropic-grain-free-plantain-strips-naturally-sweet
851093004174,6.29,[Use code 20FOODIE to save 20%],https://www.vitacost.com/gimme-organic-roasted-seaweed-snacks-extra-virgin-olive-oil
850018464888,8.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/dastony-organic-sprouted-sunflower-seed-butter
765667500408,3.75,[Use code 20FOODIE to save 20%],https://www.vitacost.com/annie-chuns-brown-rice-noodles
084114009999,3.98,"[Use code 15KBRAND to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/kettle-brand-potato-chips-unsalted
898527001132,4.39,[Use code 20FOODIE to save 20%],https://www.vitacost.com/le-veneziane-corn-pasta-capellini
810122080046,4.09,[Use code 20FOODIE to save 20%],https://www.vitacost.com/hippeas-gluten-free-chickpea-puffs-bohemian-barbecue
854126008118,4.29,[Use code 20FOODIE to save 20%],https://www.vitacost.com/miracle-noodle-organic-ready-to-eat-angel-hair-noodles
011110129352,3.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/simple-truth-organic-panko-bread-crumbs
074333684237,4.69,[Use code 20FOODIE to save 20%],https://www.vitacost.com/arrowhead-mills-organic-brown-rice-flour-gluten-free
073230008382,3.39,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/crown-prince-non-gmo-skinless-and-boneless-sardines-in-water
810757011828,4.10,[Use code 20FOODIE to save 20%],https://www.vitacost.com/schar-gluten-free-twin-bars
733739070098,10.99,[Use code 20FOODIE to save 20%],https://www.vitacost.com/now-foods-almonds-roasted-sea-salted
074305052163,4.79,[Use code 20FOODIE to save 20%],https://www.vitacost.com/bragg-non-gmo-organic-apple-cider-vinegar-drink
850023861603,3.60,[Use code 20FOODIE to save 20%],https://www.vitacost.com/4505-chicharrones-fried-pork-rinds-jalapeno-cheddar-3-oz
