UPC,Price,Promotion,Source URL
687456230054,3.49,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/madegood-star-puffed-sea-salt-crackers
811670030705,6.08,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/oceans-halo-organic-no-chicken-broth
850403000585,9.09,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/namaste-foods-gluten-free-organic-cake-mix
850403000097,7.24,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/namaste-foods-gluten-free-no-sugar-added-muffin-mix
850016323620,10.29,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/else-kids-complete-nutrition-shake-rtd-plant-powered-2-years-vanilla
072248710164,5.59,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/amore-sun-dried-tomatoes
058449410089,4.19,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/natures-path-organic-unfrosted-toaster-pastries
850403000813,6.74,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/namaste-foods-gluten-free-scone-mix
850475006843,5.38,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/miss-jones-everyday-delicious-cookie-mix
850009173096,11.99,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/rxsugar-organic-non-gmo-syrup-pancake
859220000303,24.69,[Use code SAVENONGMO to save 15%],https://www.vitacost.com/earth-mama-booby-tubes
058449890003,5.09,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/natures-path-organic-hemp-granola
042608459750,6.30,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/lakewood-juice-not-from-concentrate-organic-non-gmo-pure-pink-grapefruit
042608900023,8.49,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/renew-juice-company-juice-from-concentrate-organic-no-added-sugar
852346005993,32.99,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/no-cow-dipped-protein-bar
850025501224,32.89,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/kates-real-food-organic-energy-bar-oatmeal-cranberry-almond-12-bars
782733021667,4.58,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/tasty-bite-rice-bowl-non-gmo-real-ingredients
024182002126,5.79,"[Use code SAVENONGMO to save 15%], [Use code 20FOODIE to save 20%]",https://www.vitacost.com/eden-foods-brown-mustard-organic
