UPC,Price,Variation,Source Link
'196886296962,65,Black Full Heather / Black / Metallic Gold,https://www.als.com/under-armour-hustle-60-pro-backpack-10506005/p?skuId=1573988
'196886291349,55,Castelrock / Steel,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=1573991
'197804287048,99,Mars Dust / Dark Heather / Mars Dust,https://www.als.com/the-north-face-borealis-backpack-10121666/p?skuId=3036789
'194626553016,65,Black,https://www.als.com/dakine-campus-backpack-25l-10602911/p?skuId=3004840
'196968860067,32.9,Neutral Olive / Neutral Olive / Medium Olive,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1411389
'196886293664,55,White / White / Black,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=1573992
'197804287017,99,Slate Moss / Bark Mist,https://www.als.com/the-north-face-borealis-backpack-10121666/p?skuId=3040175
'194626566634,65,Blanket Stripe,https://www.als.com/dakine-campus-backpack-25l-10602911/p?skuId=3004844
'196886298478,65,Summit White / Metallic Gold,https://www.als.com/under-armour-hustle-60-pro-backpack-10506005/p?skuId=1852026
'196974565895,27.75,Platinum Violet / Summit White,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1411416
'194626567037,65,Pinebark,https://www.als.com/dakine-campus-backpack-25l-10602911/p?skuId=3004845
'196886295293,55,Khaki Base / Khaki Base / Taupe Dusk,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=1573993
'196974566861,27.75,Light Silver / Light Silver / Smoke Grey,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502286
'196886299147,55,Midnight Navy / Midnight Navy / Metallic Silver,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=1573994
'197598029633,37,Smoke Grey / Smoke Grey / White,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502287
'197779028486,41.25,Stream / Metallic Cristal Gold,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=1852025
'197597976631,27.75,Flax / Flax / White,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502288
'198632006092,55,Jasper Blue / Jasper Blue / Serpentine,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=3029468
'197593318855,27.75,Lilac Bloom / Lilac Bloom / Ashen Slate,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502290
'198632014394,55,Tourmaline Pink / Tourmaline Pink / Maroon Mist,https://www.als.com/under-armour-hustle-60-backpack-10506004/p?skuId=3029469
'196974568001,31.5,Olive Aura / Smoke Grey / Summit White,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502331
'197593396662,31.5,Smoke Grey / Photon Dust / DK Smoke Grey,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502343
'197593389602,31.5,Light Orewood Brown / Hydrangeas / White,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502344
'197597530208,31.5,Summit White / Jade Horizon / Dark Stucco,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502348
'197597511382,31.5,Sail / Platinum Violet / Taupe Grey,https://www.als.com/nike-heritage-backpack-25l-10366807/p?skuId=1502349
