Barcode,Cost,ADJ,Source,Tag
'198555374360,$39.99,$31.99,https://www.shopwss.com/products/391773_03?variant=41410793963575,eligible-discount
'198555374322,$39.99,$31.99,https://www.shopwss.com/products/391773_03?variant=41410793996343,eligible-discount
'198555348743,$39.99,$31.99,https://www.shopwss.com/products/391773_02?variant=41410948956215,eligible-discount
'198555348644,$39.99,$31.99,https://www.shopwss.com/products/391773_02?variant=41410948988983,eligible-discount
'198555348651,$39.99,$31.99,https://www.shopwss.com/products/391773_02?variant=41410949021751,eligible-discount
'198555348705,$39.99,$31.99,https://www.shopwss.com/products/391773_02?variant=41410949054519,eligible-discount
'198555348668,$39.99,$31.99,https://www.shopwss.com/products/391773_02?variant=41410949087287,eligible-discount
'198555348699,$39.99,$31.99,https://www.shopwss.com/products/391773_02?variant=41410949120055,eligible-discount
'198555258585,$43.99,$35.19,https://www.shopwss.com/products/405693_01?variant=41410949152823,eligible-discount
'198555258554,$43.99,$35.19,https://www.shopwss.com/products/405693_01?variant=41410949185591,eligible-discount
'198555258592,$43.99,$35.19,https://www.shopwss.com/products/405693_01?variant=41410949218359,eligible-discount
'198555258578,$43.99,$35.19,https://www.shopwss.com/products/405693_01?variant=41410949251127,eligible-discount
'198555258615,$43.99,$35.19,https://www.shopwss.com/products/405693_01?variant=41410949283895,eligible-discount
'198555258561,$43.99,$35.19,https://www.shopwss.com/products/405693_01?variant=41410949316663,eligible-discount
'198555258608,$43.99,$35.19,https://www.shopwss.com/products/405693_01?variant=41410949349431,eligible-discount
'198555258400,$39.99,$31.99,https://www.shopwss.com/products/405694_01?variant=41410949840951,eligible-discount
'198555258301,$39.99,$31.99,https://www.shopwss.com/products/405694_01?variant=41410949873719,eligible-discount
'198555258363,$39.99,$31.99,https://www.shopwss.com/products/405694_01?variant=41410949906487,eligible-discount
'198555258325,$39.99,$31.99,https://www.shopwss.com/products/405694_01?variant=41410949939255,eligible-discount
'198555258356,$39.99,$31.99,https://www.shopwss.com/products/405694_01?variant=41410949972023,eligible-discount
'198555258318,$39.99,$31.99,https://www.shopwss.com/products/405694_01?variant=41410950004791,eligible-discount
'198551688942,$47.99,$38.39,https://www.shopwss.com/products/403904_04?variant=41410950201399,eligible-discount
'198551688911,$47.99,$38.39,https://www.shopwss.com/products/403904_04?variant=41410950234167,eligible-discount
'198551688959,$47.99,$38.39,https://www.shopwss.com/products/403904_04?variant=41410950266935,eligible-discount
'198551688935,$47.99,$38.39,https://www.shopwss.com/products/403904_04?variant=41410950299703,eligible-discount
'198551688973,$47.99,$38.39,https://www.shopwss.com/products/403904_04?variant=41410950332471,eligible-discount
'198551688928,$47.99,$38.39,https://www.shopwss.com/products/403904_04?variant=41410950365239,eligible-discount
'198551688966,$47.99,$38.39,https://www.shopwss.com/products/403904_04?variant=41410950398007,eligible-discount
'198555348804,$39.99,$31.99,https://www.shopwss.com/products/391772_03?variant=41411068133431,eligible-discount
'198555348774,$39.99,$31.99,https://www.shopwss.com/products/391772_03?variant=41411068166199,eligible-discount
'198555348811,$39.99,$31.99,https://www.shopwss.com/products/391772_03?variant=41411068198967,eligible-discount
'198555348798,$39.99,$31.99,https://www.shopwss.com/products/391772_03?variant=41411068231735,eligible-discount
'198555348835,$39.99,$31.99,https://www.shopwss.com/products/391772_03?variant=41411068264503,eligible-discount
'198555348781,$39.99,$31.99,https://www.shopwss.com/products/391772_03?variant=41411068297271,eligible-discount
'198555348828,$39.99,$31.99,https://www.shopwss.com/products/391772_03?variant=41411068330039,eligible-discount
