API URLs,Original URLs
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D612364S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D612364S,https://www.michaels.com/product/manuscript-lettering-pencil-set-D612364S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D589252S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D589252S,https://www.michaels.com/product/royal-langnickel-essentials-14-piece-watercolor-pencil-artist-pack--D589252S
"https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D346737S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D346737S,D346746S,D346745S,D346738S",https://www.michaels.com/product/jam-paper-35mm-calligraphy-pen-2ct-D346737S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10230288&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10230288,https://www.michaels.com/product/copic-sketching-grays-sketch-marker-set-10230288?michaelsStore=5804&inv=1
"https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10380959&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10396734,10380959",https://www.michaels.com/product/sharpie-fine-point-black-permanent-markers-10380959?michaelsStore=5804&inv=4
"https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10011442&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10122971,10396731,10011443,10011442,10339129,10232775",https://www.michaels.com/product/prismacolor-premier-soft-core-colored-pencil-set-10011442?michaelsStore=5804&inv=6
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D304574S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D304574S,https://www.michaels.com/product/sharpie-chisel-tip-metallic-marker-set-D304574S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10396737&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10396737,https://www.michaels.com/product/sharpie-ultra-fine-point-permanent-markers-black-10396737?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D614814S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D614814S,https://www.michaels.com/product/art-advantage-50-piece-mixed-media-pencil-set-D614814S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10604036&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10604036,https://www.michaels.com/product/staedtler-fiber-tip-pen-set-10604036?michaelsStore=5804&inv=6
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10023637&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10023637,https://www.michaels.com/product/gelly-roll-metallic-gel-pen-10-color-set-10023637?michaelsStore=5804&inv=6
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10624888&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10624888,https://www.michaels.com/product/sharpie-sgel-07mm-gel-pens-10624888?michaelsStore=5804&inv=4
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10692892&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10692892,https://www.michaels.com/product/uni-posca-pc3m-soft-color-fine-tip-marker-set-10692892
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10281574&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10281574,https://www.michaels.com/product/pigma-micron-fine-line-black-3-piece-pen-set-10281574?michaelsStore=5804&inv=6
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D597163S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D597163S,https://www.michaels.com/product/edding-festive-colors-5100-acrylic-marker-medium-set-D597163S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10198377&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10198377,https://www.michaels.com/product/sharpie-king-size-black-marker-10198377?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10670562&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10670562,https://www.michaels.com/product/uni-posca-pc3m-16-color-fine-tip-paint-marker-set-10670562?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10124971&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10124971,https://www.michaels.com/product/fundamentals-colored-pencils-by-artist's-loft-10124971?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10272715&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10272715,https://www.michaels.com/product/gelly-roll-moonlight-10-bold-point-gel-pen-10-color-set-10272715?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10204351&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10204351,https://www.michaels.com/product/pigma-micron-fine-line-black-6-piece-pen-set-10204351?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10251015&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10251015,https://www.michaels.com/product/sharpie-fine-gold-metallic-markers-10251015?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10733547&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10733547,https://www.michaels.com/product/fabercastell-sv-1111-hb-graphite-pencils-3ct-10733547?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10125028&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10125028,https://www.michaels.com/product/sketching-drawing-set-by-artists-loft-fundamentals-10125028?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D620641S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D620641S,https://www.michaels.com/product/royal-langnickel-essentials-5-piece-tracing-artist-pack-D620641S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10556833&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10556833,https://www.michaels.com/product/winsor-newton-studio-collection-sketching-pencil-10pc-tin-set-10556833?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10670333&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10670333,https://www.michaels.com/product/dual-tip-brush-fineliner-markers-by-artist's-loft-10670333?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10183300&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10183300,https://www.michaels.com/product/charcoal-set-by-artists-loft-fundamentals-10183300?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D601380S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D601380S,https://www.michaels.com/product/art-supply-basics-colored-pencil-set-24ct-D601380S
