upc,price,variation,source_url
'198551099465,32.5,Desert Dust,https://us.puma.com/us/en/pd/TRAIN-FAVORITE-Men's-Zip-Up-Training-Jacket/527705?swatch=68
'195552815339,14.99,PUMA Black-PUMA White,https://us.puma.com/us/en/pd/Cool-Cat-2.0-FS-Slides/390961?swatch=01
'195552549302,15.99,Cool Dark Gray-PUMA White,https://us.puma.com/us/en/pd/Cool-Cat-2.0-FS-Slides/390961?swatch=02
'195552699533,14.99,Cool Dark Gray-PUMA Black,https://us.puma.com/us/en/pd/Cool-Cat-2.0-FS-Slides/390961?swatch=04
'196856391314,14.99,Myrtle-PUMA Black,https://us.puma.com/us/en/pd/Cool-Cat-2.0-FS-Slides/390961?swatch=08
'198551816932,14.99,Ice Coffee-Orange Glo,https://us.puma.com/us/en/pd/Cool-Cat-2.0-FS-Slides/390961?swatch=15
'198551807732,14.99,Flat Bronze-Gold Moon,https://us.puma.com/us/en/pd/Cool-Cat-2.0-FS-Slides/390961?swatch=16
'198551809910,14.99,Cool Blue-Lux Army,https://us.puma.com/us/en/pd/Cool-Cat-2.0-FS-Slides/390961?swatch=17
'198551604669,40,Cool Dark Gray-Vapor Gray-Gum,https://us.puma.com/us/en/pd/RBD-Break-Mid-SD-Sneakers-Unisex/402452?swatch=01
'198551588266,40,Persian Blue-PUMA Black-Vapor Gray,https://us.puma.com/us/en/pd/RBD-Break-Mid-SD-Sneakers-Unisex/402452?swatch=03
'198551524059,29.99,PUMA Black,"https://us.puma.com/us/en/pd/PUMATECH-Woven-Shorts-""8-Men/688047?swatch=01"
'198551524356,22.5,Cool Blue,"https://us.puma.com/us/en/pd/PUMATECH-Woven-Shorts-""8-Men/688047?swatch=34"
'198551524172,22.5,Gray Echo,"https://us.puma.com/us/en/pd/PUMATECH-Woven-Shorts-""8-Men/688047?swatch=63"
'198555374803,22.5,Wild Green,"https://us.puma.com/us/en/pd/PUMATECH-Woven-Shorts-""8-Men/688047?swatch=74"
'197674865940,9.99,PUMA Black,https://us.puma.com/us/en/pd/Essentials-Logo-Lab-Women's-Tee/688874?swatch=01
'197674865995,9.99,PUMA White,https://us.puma.com/us/en/pd/Essentials-Logo-Lab-Women's-Tee/688874?swatch=02
'197674866046,9.99,Blue Crystal,https://us.puma.com/us/en/pd/Essentials-Logo-Lab-Women's-Tee/688874?swatch=46
'197673979389,27.5,PUMA White-Port-Rose Mauve,https://us.puma.com/us/en/pd/Carina-3.0-Big-Kids'-Sneakers/401476?swatch=06
'197672648620,35,PUMA White-PUMA Black-Shadow Gray,https://us.puma.com/us/en/pd/PUMA-Dribble-Sneakers/400326?swatch=04
'197672558110,35.99,Warm White-Chestnut Brown,https://us.puma.com/us/en/pd/PUMA-Dribble-Sneakers/400326?swatch=06
'197672558257,35,PUMA White-Malachite,https://us.puma.com/us/en/pd/PUMA-Dribble-Sneakers/400326?swatch=07
'197674662525,35,Warm White-Cool Weather-Feather Gray,https://us.puma.com/us/en/pd/PUMA-Dribble-Sneakers/400326?swatch=08
'197674662327,35,PUMA Black-Cool Dark Gray,https://us.puma.com/us/en/pd/PUMA-Dribble-Sneakers/400326?swatch=09
'197674662129,35,PUMA White-Cool Weather-Feather Gray,https://us.puma.com/us/en/pd/PUMA-Dribble-Sneakers/400326?swatch=12
'198555412697,22.5,PUMA Black,https://us.puma.com/us/en/pd/ESS-ELEVATED-Polo-Men/691966?swatch=01
'198555412772,22.5,New Navy,https://us.puma.com/us/en/pd/ESS-ELEVATED-Polo-Men/691966?swatch=16
'198555412857,22.5,Lux Army,https://us.puma.com/us/en/pd/ESS-ELEVATED-Polo-Men/691966?swatch=82
'198555412932,22.5,Alpine Snow,https://us.puma.com/us/en/pd/ESS-ELEVATED-Polo-Men/691966?swatch=87
'198553437685,27.5,PUMA Black,https://us.puma.com/us/en/pd/Evostripe-Full-Zip-Hoodie-Youth/688863?swatch=01
'198553449084,27.5,Cool Blue,https://us.puma.com/us/en/pd/Evostripe-Full-Zip-Hoodie-Youth/688863?swatch=34
'198553436350,27.5,Dark Olive,https://us.puma.com/us/en/pd/Evostripe-Full-Zip-Hoodie-Youth/688863?swatch=70
'197674870449,9.99,PUMA Black,https://us.puma.com/us/en/pd/GRAPHICS-Shoe-Men's-Tee/688894?swatch=01
'197674870333,9.99,Redmazing,https://us.puma.com/us/en/pd/GRAPHICS-Shoe-Men's-Tee/688894?swatch=18
'197674870272,9.99,Almost Apricot,https://us.puma.com/us/en/pd/GRAPHICS-Shoe-Men's-Tee/688894?swatch=41
'197674870388,10.99,Desert Dust,https://us.puma.com/us/en/pd/GRAPHICS-Shoe-Men's-Tee/688894?swatch=68
'198551308611,37.5,PUMA Black,https://us.puma.com/us/en/pd/PUMA-x-HELLO-KITTY®-AND-FRIENDS-Women's-Woven-Maxi-Skirt/631615?swatch=01
'198551308413,37.5,Lavender Alert,https://us.puma.com/us/en/pd/PUMA-x-HELLO-KITTY®-AND-FRIENDS-Women's-Woven-Maxi-Skirt/631615?swatch=29
'197673155929,60,PUMA Black-Leafy Green,https://us.puma.com/us/en/pd/PUMA-x-TMNT-RS-X-Men's-Sneakers/402373?swatch=01
'198555490893,27.5,PUMA Black-PUMA Black,https://us.puma.com/us/en/pd/One4All-2.0-Sneakers-Kids/312822?swatch=02
'198551602481,35,Cool Light Gray-For All Time Red-PUMA White,https://us.puma.com/us/en/pd/SOFTRIDE-ST-MILER-Unisex/402635?swatch=01
'198551591761,35,Vapor Gray-PUMA Black-PUMA White,https://us.puma.com/us/en/pd/SOFTRIDE-ST-MILER-Unisex/402635?swatch=02
'198551578731,35,PUMA Black-PUMA White-Strong Gray,https://us.puma.com/us/en/pd/SOFTRIDE-ST-MILER-Unisex/402635?swatch=03
'198551599514,35,Clyde Royal-PUMA White-For All Time Red,https://us.puma.com/us/en/pd/SOFTRIDE-ST-MILER-Unisex/402635?swatch=05
'198555493313,35,Wild Green-PUMA Black-PUMA White,https://us.puma.com/us/en/pd/SOFTRIDE-ST-MILER-Unisex/402635?swatch=08
'197671038378,22.5,PUMA Black,https://us.puma.com/us/en/pd/BMW-MMS-CAR-GRAPHIC-TEE-Men/627466?swatch=01
'197671224955,22.5,PUMA White,https://us.puma.com/us/en/pd/BMW-MMS-CAR-GRAPHIC-TEE-Men/627466?swatch=02
'197673545676,25,Pink Fruit,https://us.puma.com/us/en/pd/PUMA-x-HELLO-KITTY®-AND-FRIENDS-Little-Kids'-Relaxed-Hoodie/630063?swatch=18
'197673546598,25,Cool Weather,https://us.puma.com/us/en/pd/PUMA-x-HELLO-KITTY®-AND-FRIENDS-Little-Kids'-Relaxed-Hoodie/630063?swatch=47
'197674021438,54.99,PUMA Black-Warm White-PUMA Gold,https://us.puma.com/us/en/pd/Softride-Enzo-5-Metallic-Women's-Running-Shoes/310473?swatch=01
'197674018643,37.5,Warm White-Rose Mauve-Rose Gold,https://us.puma.com/us/en/pd/Softride-Enzo-5-Metallic-Women's-Running-Shoes/310473?swatch=05
'196858288032,35,Puma White-Puma White-Puma Silver-Gray Violet,https://us.puma.com/us/en/pd/Serve-Pro-Lite-Women's-Sneakers/397411?swatch=01
'196858287745,35,Puma White-Puma White-Amazon Green-Puma Silver,https://us.puma.com/us/en/pd/Serve-Pro-Lite-Women's-Sneakers/397411?swatch=05
'196858287868,35,Puma White-Puma Black-Puma Team Gold,https://us.puma.com/us/en/pd/Serve-Pro-Lite-Women's-Sneakers/397411?swatch=08
'197674992226,55,Midnight Plum-Rose Quartz-Green Moon,https://us.puma.com/us/en/pd/Style-Rider-Galactic-Women's-Sneakers/403470?swatch=01
'198555056945,42.5,PUMA Navy-PUMA White,https://us.puma.com/us/en/pd/Softride-Enzo-5-Chivas-Men/313042?swatch=02
'197673359808,22.5,PUMA Black,"https://us.puma.com/us/en/pd/WARDROBE-ESSENTIALS-Women's-4""-Pointelle-Shorts/629764?swatch=01"
'197673360347,22.5,Lavender Alert,"https://us.puma.com/us/en/pd/WARDROBE-ESSENTIALS-Women's-4""-Pointelle-Shorts/629764?swatch=29"
'198555376494,29.99,Plum Jam,https://us.puma.com/us/en/pd/Essentials-Animal-Long-Sleeve-Jersey-Women/690336?swatch=64
'198555376579,20,Alpine Snow,https://us.puma.com/us/en/pd/Essentials-Animal-Long-Sleeve-Jersey-Women/690336?swatch=87
'197673987780,12.5,PUMA Black,https://us.puma.com/us/en/pd/ESS-Small-No.-1-Logo-Dress-Youth/685130?swatch=01
'198553721821,12.5,Cool Blue,https://us.puma.com/us/en/pd/ESS-Small-No.-1-Logo-Dress-Youth/685130?swatch=34
'197674836407,50,Galaxy Pink-Mauve Mist-Frosty Pink,https://us.puma.com/us/en/pd/Inverse-Premium-Women's-Sneakers/401756?swatch=01
