SkuCode,Price,Quantity,UPC,Promo,Source
50217196,"FOR PRICE, ADD TO BAG",235,'197863556390,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=50217196
72538699,"FOR PRICE, ADD TO BAG",1558,'194954532684,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72538699
72788745,"FOR PRICE, ADD TO BAG",236,'197597204369,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72788745
19216271,"FOR PRICE, ADD TO BAG",39,'197863525327,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=19216271
50217197,"FOR PRICE, ADD TO BAG",421,'197863573410,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=50217197
72538700,"FOR PRICE, ADD TO BAG",542,'194954532691,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72538700
72788746,"FOR PRICE, ADD TO BAG",171,'197597211985,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72788746
19216272,"FOR PRICE, ADD TO BAG",45,'197863498126,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=19216272
72538701,"FOR PRICE, ADD TO BAG",4245,'194954532707,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72538701
46873926,"FOR PRICE, ADD TO BAG",34,'197863506463,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=46873926
72788747,"FOR PRICE, ADD TO BAG",240,'197597206288,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72788747
50217203,"FOR PRICE, ADD TO BAG",334,'197863565804,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=50217203
19216273,"FOR PRICE, ADD TO BAG",26,'197863574332,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=19216273
72538702,"FOR PRICE, ADD TO BAG",2296,'194954532714,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72538702
46873927,"FOR PRICE, ADD TO BAG",63,'197863548708,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=46873927
72788753,"FOR PRICE, ADD TO BAG",878,'197597206943,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72788753
50217204,"FOR PRICE, ADD TO BAG",303,'197863504506,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=50217204
19216274,"FOR PRICE, ADD TO BAG",26,'197863539515,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=19216274
72538709,"FOR PRICE, ADD TO BAG",3506,'194954532721,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72538709
46873928,"FOR PRICE, ADD TO BAG",106,'197863558943,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=46873928
72788754,"FOR PRICE, ADD TO BAG",93,'197597221441,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=72788754
50217205,"FOR PRICE, ADD TO BAG",336,'197863567761,,https://www.kohls.com/product/prd-4636089/nike-court-legacy-babytoddler-shoes.jsp?skuid=50217205
71738699,"FOR PRICE, ADD TO BAG",217,'197642447697,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738699
37502474,"FOR PRICE, ADD TO BAG",1036,'197642539392,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502474
71738700,"FOR PRICE, ADD TO BAG",186,'197642447956,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738700
37502475,"FOR PRICE, ADD TO BAG",976,'197642539644,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502475
71738701,"FOR PRICE, ADD TO BAG",145,'197642448175,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738701
37502476,"FOR PRICE, ADD TO BAG",14,'197642539873,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502476
71738702,"FOR PRICE, ADD TO BAG",135,'197642445358,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738702
37502455,"FOR PRICE, ADD TO BAG",781,'197642537176,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502455
71738709,"FOR PRICE, ADD TO BAG",167,'197642445822,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=71738709
37502456,"FOR PRICE, ADD TO BAG",888,'197642537565,,https://www.kohls.com/product/prd-6841609/vans-seldan-kids-shoes.jsp?skuid=37502456
