Price,Quantity,UPC,Promo,Source
$17.99,145,400746693236,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=74669323
$17.99,564,400299865951,,https://www.kohls.com/product/prd-7270847/womens-tek-gear-essential-bermuda-shorts.jsp?skuid=29986595
$19.99,185,850059643006,,https://www.kohls.com/product/prd-7070430/blackdecker-powerseries-lite-3-in-1-corded-stick-vacuum-bdsv1.jsp?skuid=51637254
$13.99,277,400865342534,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534253
$13.99,217,400865342664,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534266
$13.99,247,400865342602,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534260
$13.99,7,400277876559,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=27787655
$13.99,4,400706074228,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=70607422
$13.99,28,400503563406,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50356340
$13.99,13,400561069810,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=56106981
$13.99,4261,400865342541,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534254
$13.99,4897,400865342619,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534261
$13.99,4816,400865342671,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534267
$13.99,208,400280853363,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=28085336
$13.99,292,400714296827,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=71429682
$13.99,34,400503563413,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50356341
$13.99,11,400561069827,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=56106982
$13.99,666,400674977583,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497758
$13.99,333,400502592353,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50259235
