"UPC","Title","ASIN","Sales Rank 180","Price 180","New Count Offer 180","Monthly Sold","Buy Box 180"
"040102127502","Andis 12750 Cool Care Plus 5-in-1 Clipper Spray, 15.5 oz Can, Blade Care and Treatment, Blue","B000LNB8HK","6092.0","75.52","16.0","7000","13.34"
"028882501279","Zerex G05 Phosphate Free 50/50 Ready-to-Use Antifreeze/Coolant 1 GA","B0033QQ4VW","7294.0","19.99","17.0","900","18.73"
"076067006507","Claey's Wild Cherry Drops, 6-Ounce Packages (Pack of 12)","B000NQ5H3G","4266.0","23.0","20.0","50","25.61"
"363736363048","Caldesene Medicated Protecting Powder with Zinc Oxide & Cornstarch-Talc Free, 5 Ounce (3 Pack)","B01FBKE8DS","5307.0","17.69","17.0","800","17.75"
"757533006053","Ospho 605 Metal Treatment, 32 Fl Oz (Pack of 1)","B000C02CDG","6081.0","26.9","16.0","500","21.32"
"070066040302","Clubman Pinaud After Shave Lotion, 6 Ounce (3-Pack)","B00GMPD7RK","6270.0","18.5","16.0","100","18.95"
"317163041406","API POND STRESS COAT Pond Water Conditioner 64 Fl Oz Bottle (140D)","B000256DHC","4555.0","61.78","16.0","300","38.53"
"074312062124","Nature's Bounty Red Yeast Rice Pills and Herbal Health Supplement, Dietary Additive, 600mg, 120 Capsules","B002Y27JII","4954.0","21.89","16.0","3000","9.24"
"196852246700","ACDelco DexosD Oil Change Kit 0W-20 Light Duty Diesel Engine Oil 19370138, 10-9277 and AC Delco PF66, 55495105, 19391402 Oil Filter (See Description For compatible vehicles)","B0B15LSVLK","7230.0","89.99","15.0","500","76.69"
"191693235692","Zippo Gold Flashed Pipe Insert","B09V89FMKW","6165.0","19.95","17.0","100","16.66"
"079567100386","3-IN-ONE 10038 Multi-Purpose Oil 8 oz (Pack of 2)","B06XV213CQ","7153.0","25.16","16.0","900","14.55"
"678213681561","Pond's Dry Skin Cream Rich Hydrating Skin Cream, 3.9 Oz (Pack of 1)","B000XEZATY","8217.0","19.99","16.0","300","7.84"
"049807120207","Lucas Upper Cylinder Lubricant & Fuel Injector Cleaner (5.25 oz.)-12 Pack","B0167BASDY","7498.0","52.49","18.0","600","53.00"
"639601400805","XTRA SEAL - Chemical Vulcanizing Cement Flammable 8Oz (TI210)","B002PMRDTM","6819.0","29.23","20.0","600","11.49"
"665355766423","EasyTouch U-100 Insulin Syringe with Needle, 31G 0.5cc 5/16-Inch (8mm), Box of 100","B0859JR6WN","8291.0","49.99","15.0","3000","18.09"
"070409044110","Carbona Stain Wizard | Bio-Enzyme Stain Remover | Eliminates Fat, Oil, Blood, Milk, Fruit, Ketchup, Vegetables & Baby Food Stains | Save On Skin & Washable Fabrics | 3 Pack","B01IQ9IM6A","8270.0","19.99","17.0","1000","15.07"
"752190152686","Seachem Flourish Excel 500 ml","B000256962","6406.0","23.63","16.0","1000","16.69"
"885109011986","Yves Saint Laurent La Nuit Da L'homme Eau de Toilette Spray for Men, 2 oz","B0080GG0LY","7187.0","152.0","18.0","50","58.62"
"628176357263","Immuneti - Advanced Immune Defense, 5-in-1 Powerful Blend of Vitamin C, Zinc, Elderberries, Garlic Bulb, Echinacea - 5 Pack - Supports Overall Health, Provides Vital Nutrients & Antioxidants","B08867C47T","6936.0","53.37","18.0","400","50.61"
"688047736559","Demert Brands Nail Enamel Dryer Manicurist's Finishing Spray - 7.5 fl oz Spray Can - Fast Drying","B001GELIBO","13226.0","20.79","18.0","2000","7.87"
"780285091077","Nailtiques Nail Protein Formula 2 Plus Treatment 0.25 (Pack of 2)","B01IAEVTP2","8188.0","19.81","15.0","600","20.12"
"780285091077","Nailtiques Nail Protein Formula 2 Plus Treatment 0.25 (Pack of 3)","B01IAEVVCI","8184.0","69.95","16.0","100","25.96"
"078254053592","CRC 05359 Brake Caliper Synthetic Grease - 8 Wt Oz","B000M8PZGE","10888.0","25.48","20.0","400","21.36"
"827755070047","Brut Deodorant 10oz Aerosol Classic Scent (3 Pack)","B01BDZ67O8","11924.0","25.99","20.0","2000","20.65"
"881314376292","Hot Shot's Secret - HSSTSE32Z Shift Restore Automatic Transmission Additive 32 Fluid Ounce Bottle","B00W939XOA","8074.0","44.99","15.0","200","33.38"
"073852009392","Purell Adv Aloe 8oz Pump (2 Pack)","B0075M5E48","17250.0","17.04","16.0","800","13.50"
"817987021153","New Life Spectrum Naturox Series Marine Formula Supplement 300g","B077MRGYPD","15632.0","36.11","18.0","400","18.80"
"074130009868","Valvoline - VV986 Moly-Fortified Gray Full Synthetic Grease 1 LB","B000GAN3I0","15729.0","30.48","20.0","300","15.07"
"615908942934","Catwalk Curls Rock Amplifier, 5.07 Fluid Ounce (Pack of 2)","B074R3F6ND","7427.0","15.5","18.0","2000","19.05"
"789287100985","George's Aloe Vera Liquid Supplement, 128 oz","B00014EB6O","12204.0","38.36","18.0","2000","32.71"
"789287100640","George's Aloe Vera Supplement Softgel, 64 Fluid Ounce, 100% Always Active Aloe Vera Liquid","B00B7V5Z7E","12198.0","22.6","15.0","100","24.66"
"037307153108","U. S. Chemical & Plastics Special Lite Lightweight Filler, 0.8 Gallon (USC-15310)","B0082LKGNA","14209.0","43.2","17.0","300","31.51"
"852520003609","Stens GOJO Bottle White Natural Orange Citrus Scented Heavy Duty Hand Cleaner, 64 Ounce","B003VQ13JW","19134.0","38.34","15.0","300","20.27"
"792486682619","TIGI Bed Head for Men Matte Separation Workable Wax, 3 Ounce","B002N5MI2S","10204.0","18.23","19.0","2000","9.83"
"633911744222","BioSilk Silk Therapy Finishing Spray Firm Hold, Strong-Hold Hairspray For Long-Lasting Styles, Sulfate, Paraben, & Cruelty-Free, 10 Oz","B00J4G2B7G","14357.0","20.0","16.0","700","15.96"
"615908421606","TIGI Catwalk Curls Rock Amplifier, 5.07 Oz","B0007506U2","9032.0","18.49","17.0","2000","10.39"
"683203392389","Sculpey Premo Classic Mixing Color sampler pack, 12 colors, Polymer Oven-Bake Clay, Non Toxic, 12 oz., Great for jewelry making, holiday, DIY, mixed media and home décor projects","B00CO9MPMQ","14386.0","41.99","15.0","400","15.73"
"898571000372","It's a 10 Haircare Miracle Shampoo Plus Keratin, 10 Fl Oz","B006Z8B5HS","10761.0","24.0","20.0","700","17.35"
"885328954804","Lansinoh Breast Cream, 1.41 Ounce Tube (Pack of 3)","B001EPQ1US","17778.0","29.85","15.0","100","22.79"
"071249240731","L'Oreal Paris Revitalift Triple Power Anti-Aging Overnight Mask, Pro Retinol, Hyaluronic Acid & Vitamin C, Reduce Wrinkles 1.7 Oz","B00I5571ZO","13288.0","29.99","19.0","1000","17.60"
"302250520537","Pretty Feet and Hands Rough Skin Remover - 3 Fl oz. (Pack of 2)","B00IMN4B20","12267.0","24.76","18.0","100","18.77"
"885586925950","Curve Women's Perfume, Eau De Toilette Spray, Curve Crush, 3.4 Fl Oz","B000C231VQ","12545.0","57.0","18.0","1000","23.42"
"883484717943","Sure Deodorant 2.7 Ounce Original Solid Unscented (79ml) (Pack of 1)","B001ET7C3O","8741.0","21.05","20.0","50","17.99"
"037685322691","Grannicks Bitter Apple 8oz w/Sprayer-2 pack","B00HVLJYVW","11056.0","24.98","17.0","300","18.40"
"163121239817","SEM Paints SEM15243 Satin Black Color Coat Aerosol 12 Ounce (Pack of 1)","B00FMS8N0E","9194.0","23.71","16.0","500","21.88"
"633911745304","BioSilk Silk Therapy Miracle 17 Leave-In Conditioner, Reconstructs & Repairs Dry & Damaged Hair, Sulfate, Paraben, & Cruelty-Free, 5.64 Oz","B00KWT8JZC","10187.0","24.76","20.0","1000","14.45"
"079896653836","Queen Helene Natural Cocoa Crème, Cocoa Butter, 15 Ounce","B000142BP2","17133.0","20.0","15.0","50","13.23"
"034044125597","Salon Grafix Professional Super Hold Unscented Shaping Hair Spray, 10-Ounces (3 pack)","B001F0QXRS","15734.0","66.02","15.0","800","24.51"
"079400206961","DEGREE Men Clean Clinical Antiperspirant Deodorant, 1.7 Ounce (Pack of 3)","B00FW3LY1O","14626.0","17.76","17.0","800","20.17"
"079400206961","Degree Men Clean Clinical Antiperspirant Deodorant 1.7 oz (Pack of 6)","B00EZWTY42","14629.0","36.66","16.0","400","36.93"
"035000141163","Irish Spring Aloe Mist Deodorant Bath Bar, 3.7 oz, 3 ct x 3 Packs (Total of 9 Bars of Soap/Packaging May Vary)","B00DNP8MMM","20925.0","19.99","20.0","700","15.01"
"000096107775","Colman's Original English Squeezy Mustard 150g - Pack of 2","B07PGK25N5","14501.0","22.0","19.0","500","12.66"
