ASIN,Title,Cost,List,Profit,ROI,Offer,Rank,# Sold,30/90 BB,30/90 Profit,Rating,T Rating,%,Return,BB/SUP,CPT,CPT Profit,CPT ROI,Amz,Amz OOS,Tags,Source,Amazon
B000QX9MJQ,"adidas boys Samba Classic Soccer Shoe, Black/White/Black, 10 Toddler US",$49.97,$80.99,$11.47,23%,3,"71,949",,$65.57,$-1.64,113,"4,788",2%,,SUP,,,,,100 %,"$40 TO $60, 036516Y, 4 - 7 yrs, ADIDAS, Adidas World Cup, BLACK, Boys, Boys Kids, boys-shoes, boys-shoes-soccer, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-family-holiday-2024, holiday-sale, ",https://www.shopwss.com/products/036516y?variant=40942200717367,https://www.amazon.com/dp/B000QX9MJQ?th=1&psc=1
B07F5K9QZN,adidas Originals Men's Samba OG Sneaker White/Black/Granite 11,$99.99,$179.00,$45.39,45%,1,"42,393",,$101.36,$-20.60,93,"2,388",4%,,SUP, 99.99,$-21.77,-22%,,100 %,"$80 TO $100, ADIDAS, B75806, best-sellers-web, bts25, Classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, for-him-2024, full-family-holiday-2024, full-price-eligible-discount, md2-ex",https://www.shopwss.com/products/b75806?variant=40951163879479,https://www.amazon.com/dp/B07F5K9QZN?th=1&psc=1
B00DSFGXBY,"Nike Men's Low-Top Sneakers, Black White Cool Grey, 11",$119.99,$213.16,$53.88,45%,1,"18,979",,$132.04,$-15.08,92,"5,654",2%,,SUP, 134.99,$-12.57,-10%,,100 %,"$100 TO $150, Air Max, Air Max LTD, best-sellers-web, BLACK, BV1171 001, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, eligible-for-promotions, full-price-eligible-discount, Lifestyle, md2-exclusion,",https://www.shopwss.com/products/bv1171_001?variant=41059738943543,https://www.amazon.com/dp/B00DSFGXBY?th=1&psc=1
B005FW0Y7W,"Lugz Men's Fringe Fashion Boot, Black Durabrush, 8 D US",$39.99,$59.99,$4.07,10%,5,"50,088",,$47.04,$-6.94,92,"5,865",2%,,BB,,,,$ 59.99,0 %,"$20 TO $40, BLACK, Boots, eligible-for-promotions, Lifestyle, LUGZ, maybogo, Mens, mens-shoes, mens-shoes-boots, MFRGD 001, on-sale, promo-maybogo, show-all",https://www.shopwss.com/products/mfrgd_001?variant=40947053822007,https://www.amazon.com/dp/B005FW0Y7W?th=1&psc=1
B00UI9C7G8,"Converse Women's Street Leather High Top Sneaker, Black/Black/White, 10.5",$74.99,$112.67,$13.14,18%,1,"62,305",,$95.65,$-1.33,77,"5,617",1%,,SUP,,,,,100 %,"$60 to $80, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 10.5, 11.0, 11.5, 12.0, 13.0, 149426C, BLACK, black-white-shoes, chuck taylor, Classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-frie",https://www.shopwss.com/products/149426c?variant=40942202716215,https://www.amazon.com/dp/B00UI9C7G8?th=1&psc=1
B07FS2H8RR,adidas Originals Men's Samba OG Sneaker Black/White/Gum 12,$99.99,$179.01,$46.75,47%,1,"43,790",,$98.56,$-21.63,76,76,100%,,SUP, 80.00,$-37.41,-37%,,100 %,"$80 TO $100, ADIDAS, B75807, best-sellers-web, BLACK, bts25, Classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, for-him-2024, full-price-eligible-discount, md2-exclusion, mens, mens-shoes, mens-s",https://www.shopwss.com/products/b75807?variant=40951164403767,https://www.amazon.com/dp/B07FS2H8RR?th=1&psc=1
B00UI9C06U,"Converse Street Leather High Top Sneaker, Black/Black/White, Men 8.5 / Women 10.5",$74.99,$103.00,$7.57,10%,4,"62,305",,$75.00,$-16.23,75,"5,617",1%,,SUP, 75.00,$-16.23,-22%,,100 %,"$60 to $80, 06.5, 07.0, 07.5, 08.0, 08.5, 09.0, 09.5, 10.0, 10.5, 11.0, 11.5, 12.0, 13.0, 149426C, BLACK, black-white-shoes, chuck taylor, Classic, CONVERSE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-frie",https://www.shopwss.com/products/149426c?variant=40942202585143,https://www.amazon.com/dp/B00UI9C06U?th=1&psc=1
B0006BKBT8,Converse Unisex Baby Infant Chuck Taylor All Star Hi Top - Red - 4 Infant,$34.99,$70.41,$17.38,50%,1,"8,562",,$59.15,$7.81,71,71,100%,,SUP, 55.00,$4.28,12%,,100 %,"$20 TO $40, 02.0, 03.0, 04.0, 05.0, 06.0, 07.0, 08.0, 09.0, 10.0, 7J232, 9 mos. - 4 yrs, Boys, Boys Toddler, boys-shoes, boys-shoes-classic, Chuck Taylor, Classic, CONVERSE, converse-chuck-taylor-all-star, converse-never-sale, eligible-discount, eligible-d",https://www.shopwss.com/products/7j232?variant=40942165688375,https://www.amazon.com/dp/B0006BKBT8?th=1&psc=1
B07S58MLG4,"adidas Originals Men's Adilette Lite Slide, Core Black/White/Core Black, 14",$34.99,$64.99,$13.25,38%,1,"63,250",,,,71,"11,440",1%,,SUP,,,,,100 %,"$20 to $40, ADIDAS, Adilette, BLACK, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FU8298, full-price-eligible-discount, Lifestyle, md2-exclusion, Mens, mens-featured, mens-shoes, mens-shoes-big-and-",https://www.shopwss.com/products/fu8298?variant=40942283227191,https://www.amazon.com/dp/B07S58MLG4?th=1&psc=1
B0C7JYLGL6,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Dreamscape, 6 Men/8 Women",$39.99,$61.00,$4.30,11%,6,1,,$47.44,$-7.23,66,89,74%,,SUP,,,,,100 %,"$20 TO $40, 10001 5AF, BLUE, classic clog, Clogs, CROCS, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, md2-exclusion, on-sale, Slides, slides and thongs, under60-holiday-2024, unisex-la",https://www.shopwss.com/products/10001_5af?variant=40943167766583,https://www.amazon.com/dp/B0C7JYLGL6?th=1&psc=1
