UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,,,,60.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Off Noir - 3XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-045
1.98E+11,,,,82.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Grey Heather - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-050
1.98E+11,,,,48,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Glacier Blue - 5,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-summer-pack-2-piece-shorts-set-4ByIKUYB/85F055-G25
1.98E+11,,,,82.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Grey Heather - 3XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-050
1.98E+11,B0F7P7RXZN,Flight Fleece by Jordan,Nike,60.97,172.5099945,70.31999424,115.34%,,,1,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,X-Large,11.89000034,29.32999992,0,0,0,0,Off Noir,,,Off Noir - XL,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-045
1.98E+11,,,,82.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Sail - XS,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-133
1.98E+11,,,,60.97,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Off Noir - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-fleece-mens-graphic-pullover-hoodie-tqHlrg/HJ4396-045
1.98E+11,B0F7NX4NRP,Jordan Flight Essentials,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Large,0,0,0,0,0,0,Washed Teal,,,Big Kids - Washed Teal - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-B5P
1.98E+11,B0F7NX4NRP,Jordan Flight Essentials,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Large,0,0,0,0,0,0,Washed Teal,,,Big Kids - Washed Teal - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-B5P
1.98E+11,B0F7P27ZS9,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Small,0,0,0,0,0,0,Black,,,Big Kids - Black - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-023
1.98E+11,B0F7P27ZS9,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Small,0,0,0,0,0,0,Black,,,Big Kids - Black - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-023
1.98E+11,B0F7P9XJVK,,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Large,0,0,0,0,0,0,Black,,,Big Kids - Black - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-023
1.98E+11,B0F7P9XJVK,,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Large,0,0,0,0,0,0,Black,,,Big Kids - Black - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-023
1.98E+11,B0F7PHJ9WH,Essentials Flight Jordan,Nike,18.97,0,-18.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,7,0,0,0,0,0,0,White,,,Little Kids - White - 7,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-poolside-jumpman-t-shirt-0odoLX17/85F049-001
1.98E+11,B0F7PHJ9WH,Essentials Flight Jordan,Nike,18.97,0,-18.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,7,0,0,0,0,0,0,White,,,Little Kids - White - 7,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-poolside-jumpman-t-shirt-0odoLX17/85F049-001
1.98E+11,B0F7PLX7GK,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Medium,0,0,0,0,0,0,Washed Teal,,,Big Kids - Washed Teal - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-B5P
