UPC,Price,Variant,Promo,Source Link
071641054943,11.106,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-metallic-fine-point-permanent-markers-fine-bullet-tip-gold-silver-bronze-6-pack-san1829201
071641171862,17.298,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-high-performance-gel-pen-retractable-medium-0-7-mm-blue-ink-black-barrel-dozen-san2096152
071641196551,20.619,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-clearview-pen-style-highlighter-assorted-ink-colors-chisel-tip-assorted-barrel-colors-12-pack-san2149296
071641188839,7.182,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-mixed-point-size-permanent-markers-assorted-tip-sizes-types-black-6-pack-san2135318
071641190979,16.704,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-high-performance-gel-pen-retractable-extra-fine-0-38-mm-black-ink-black-barrel-dozen-san2140521
071641355378,2.43,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-permanent-paint-marker-fine-bullet-tip-green-san35537
071641103047,6.5520000000000005,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-300-rt-ballpoint-pen-refillable-retractable-medium-1-mm-red-ink-red-barrel-dozen-pap1951258
071641171930,17.298,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-s-gel-s-gel-high-performance-gel-pen-retractable-fine-0-5-mm-red-ink-black-barrel-dozen-san2096166
071641758469,24.318,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-fine-tip-permanent-marker-fine-bullet-tip-assorted-colors-24-set-san75846
071641391000,19.755,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-metallic-fine-point-permanent-markers-fine-bullet-tip-metallic-silver-dozen-san39100
071641103023,3.7800000000000002,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/paper-mate-r-inkjoy-100-ballpoint-pen-stick-medium-1-mm-blue-ink-translucent-blue-barrel-dozen-pap1951256
071641177963,31.868999999999996,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-permanent-paint-marker-medium-bullet-tip-red-dozen-san2107613
071641355347,2.457,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-permanent-paint-marker-fine-bullet-tip-black-san35534
071641080652,4.077,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-pocket-style-highlighters-assorted-ink-colors-chisel-tip-assorted-barrel-colors-5-set-san1908101
071641300088,12.969000000000001,Default Title,GEARUP,https://goodearthproducts.com/collections/newell-school-promo-2025/products/sharpie-r-fine-tip-permanent-marker-fine-bullet-tip-purple-dozen-san30008
